ISO,国,統計年,テーマ,確認項目,確認段階,確認した粒度,留意点,出典ID,URL
MEX,メキシコ,2020,教育,識字、就学、学歴,公表目録確認,municipio。AGEB／manzanaは選定指標のみ,,MEX_C,https://inegi.org.mx/rnm/index.php/catalog/632
MEX,メキシコ,2020,就業・生計,経済活動（基本／標本の細目を確認）,公表目録確認,municipio。AGEB／manzanaは選定指標のみ,,MEX_C,https://inegi.org.mx/rnm/index.php/catalog/632
MEX,メキシコ,2020,包摂・健康の一部,障害、民族、医療サービス加入,公表目録確認,municipio。AGEB／manzanaは選定指標のみ,,MEX_C,https://inegi.org.mx/rnm/index.php/catalog/632
MEX,メキシコ,2020,移住,出生地、従前居住地,公表目録確認,municipio。AGEB／manzanaは選定指標のみ,,MEX_C,https://inegi.org.mx/rnm/index.php/catalog/632
NIC,ニカラグア,2005,人口・世帯,人口一般・世帯,公表目録確認,2005 municipio別巻の目録確認。項目別の表を追加取得,,NIC_C,https://www.inide.gob.ni/docu/censos2005/censo2005.htm
NIC,ニカラグア,2005,住宅,住宅特性,公表目録確認,2005 municipio別巻の目録確認。項目別の表を追加取得,,NIC_C,https://www.inide.gob.ni/docu/censos2005/censo2005.htm
NIC,ニカラグア,2005,水,水源・配管,調査票確認,2005 municipio別巻の目録確認。項目別の表を追加取得,,NIC_Q,https://celade.cepal.org/censosinfo/Boletas/NI_BDef_2005.pdf
NIC,ニカラグア,2005,衛生,衛生設備,調査票確認,2005 municipio別巻の目録確認。項目別の表を追加取得,,NIC_Q,https://celade.cepal.org/censosinfo/Boletas/NI_BDef_2005.pdf
NIC,ニカラグア,2005,家庭エネルギー,照明電源・調理燃料,調査票確認,2005 municipio別巻の目録確認。項目別の表を追加取得,,NIC_Q,https://celade.cepal.org/censosinfo/Boletas/NI_BDef_2005.pdf
NIC,ニカラグア,2005,デジタル接続,未確認：2005のネット項目をこの台帳では確認できていない,未確認,当該項目の公表粒度未確認,,NIC_C,https://www.inide.gob.ni/docu/censos2005/censo2005.htm
NIC,ニカラグア,2005,教育,教育,公表目録確認,2005 municipio別巻の目録確認。項目別の表を追加取得,,NIC_C,https://www.inide.gob.ni/docu/censos2005/censo2005.htm
NIC,ニカラグア,2005,就業・生計,経済活動,公表目録確認,2005 municipio別巻の目録確認。項目別の表を追加取得,,NIC_C,https://www.inide.gob.ni/docu/censos2005/censo2005.htm
NIC,ニカラグア,2005,包摂・健康の一部,NBI等は別公表資料・算定年を確認,公表目録確認,2005 municipio別巻の目録確認。項目別の表を追加取得,,NIC_C,https://www.inide.gob.ni/docu/censos2005/censo2005.htm
NIC,ニカラグア,2005,移住,未確認：この台帳では移住詳細を未点検,未確認,当該項目の公表粒度未確認,,NIC_C,https://www.inide.gob.ni/docu/censos2005/censo2005.htm
PAN,パナマ,2023,人口・世帯,人口、性・年齢,公開表確認,distrito／corregimiento／lugar pobladoの選定指標,,PAN_T,https://www.inec.gob.pa/archivos/P0705547520240201165824Panam%C3%A1.pdf
PAN,パナマ,2023,住宅,住宅、土間床等,公開表確認,distrito／corregimiento／lugar pobladoの選定指標,,PAN_T,https://www.inec.gob.pa/archivos/P0705547520240201165824Panam%C3%A1.pdf
PAN,パナマ,2023,水,飲用水の有無,公開表確認,distrito／corregimiento／lugar pobladoの選定指標,,PAN_T,https://www.inec.gob.pa/archivos/P0705547520240201165824Panam%C3%A1.pdf
PAN,パナマ,2023,衛生,便所の有無,公開表確認,distrito／corregimiento／lugar pobladoの選定指標,,PAN_T,https://www.inec.gob.pa/archivos/P0705547520240201165824Panam%C3%A1.pdf
PAN,パナマ,2023,家庭エネルギー,電気、薪・炭調理,公開表確認,distrito／corregimiento／lugar pobladoの選定指標,,PAN_T,https://www.inec.gob.pa/archivos/P0705547520240201165824Panam%C3%A1.pdf
PAN,パナマ,2023,デジタル接続,住宅の固定／モバイルネット欠如,公開表確認,distrito／corregimiento／lugar pobladoの選定指標,,PAN_T,https://www.inec.gob.pa/archivos/P0705547520240201165824Panam%C3%A1.pdf
PAN,パナマ,2023,教育,識字・学歴等の選定項目,公開表確認,distrito／corregimiento／lugar pobladoの選定指標,,PAN_T,https://www.inec.gob.pa/archivos/P0705547520240201165824Panam%C3%A1.pdf
PAN,パナマ,2023,就業・生計,経済活動の選定項目,公開表確認,distrito／corregimiento／lugar pobladoの選定指標,,PAN_T,https://www.inec.gob.pa/archivos/P0705547520240201165824Panam%C3%A1.pdf
PAN,パナマ,2023,包摂・健康の一部,未確認：この台帳では障害・医療保障表を未点検,未確認,当該項目の公表粒度未確認,,PAN_T,https://www.inec.gob.pa/archivos/P0705547520240201165824Panam%C3%A1.pdf
PAN,パナマ,2023,移住,未確認：この台帳では移住詳細を未点検,未確認,当該項目の公表粒度未確認,,PAN_T,https://www.inec.gob.pa/archivos/P0705547520240201165824Panam%C3%A1.pdf
PRY,パラグアイ,2022,人口・世帯,人口、性・年齢,公表目録確認,distrito,,PRY_C,https://censo2022.ine.gov.py/
PRY,パラグアイ,2022,住宅,材料、所有・賃貸、室数,公表目録確認,distrito,,PRY_H,https://www.ine.gov.py/censo2022/documentos/2%20resultados%20finales%20viviendas.pdf
PRY,パラグアイ,2022,水,水源・給水,公表目録確認,distrito,,PRY_H,https://www.ine.gov.py/censo2022/documentos/2%20resultados%20finales%20viviendas.pdf
PRY,パラグアイ,2022,衛生,便所・排水,公表目録確認,distrito,,PRY_H,https://www.ine.gov.py/censo2022/documentos/2%20resultados%20finales%20viviendas.pdf
PRY,パラグアイ,2022,家庭エネルギー,電気,公表目録確認,distrito,,PRY_H,https://www.ine.gov.py/censo2022/documentos/2%20resultados%20finales%20viviendas.pdf
PRY,パラグアイ,2022,デジタル接続,住宅ネット・電話・PC,公表目録確認,distrito,,PRY_H,https://www.ine.gov.py/censo2022/documentos/2%20resultados%20finales%20viviendas.pdf
PRY,パラグアイ,2022,教育,教育の公表巻あり。個別指標・粒度を追加確認,公表目録確認,distrito,,PRY_C,https://censo2022.ine.gov.py/
PRY,パラグアイ,2022,就業・生計,前週活動・職業等,調査票確認,当該項目の公表粒度未点検,,PRY_H,https://www.ine.gov.py/censo2022/documentos/2%20resultados%20finales%20viviendas.pdf
PRY,パラグアイ,2022,包摂・健康の一部,NBI・先住民関連の公表。障害等は追加確認,公表目録確認,distrito,,PRY_C,https://censo2022.ine.gov.py/
PRY,パラグアイ,2022,移住,未確認：この台帳では移住詳細を未点検,未確認,当該項目の公表粒度未確認,,PRY_C,https://censo2022.ine.gov.py/
PER,ペルー,2025,人口・世帯,人口、性・年齢,公式結果記事確認,2025 departamento公表例。人口のみprovincia／distritoも確認,,PER_T,https://www.gob.pe/institucion/inei/noticias/1426058-inei-poblacion-de-cusco-registro-1-millon-379-mil-habitantes-segun-resultados-de-los-censos-nacionales-2025
PER,ペルー,2025,住宅,種類、居住、壁・屋根,公式結果記事確認,2025 departamento公表例。人口のみprovincia／distritoも確認,,PER_T,https://www.gob.pe/institucion/inei/noticias/1426058-inei-poblacion-de-cusco-registro-1-millon-379-mil-habitantes-segun-resultados-de-los-censos-nacionales-2025
PER,ペルー,2025,水,屋内公共給水,公式結果記事確認,2025 departamento公表例。人口のみprovincia／distritoも確認,,PER_T,https://www.gob.pe/institucion/inei/noticias/1426058-inei-poblacion-de-cusco-registro-1-millon-379-mil-habitantes-segun-resultados-de-los-censos-nacionales-2025
PER,ペルー,2025,衛生,下水,公式結果記事確認,2025 departamento公表例。人口のみprovincia／distritoも確認,,PER_T,https://www.gob.pe/institucion/inei/noticias/1426058-inei-poblacion-de-cusco-registro-1-millon-379-mil-habitantes-segun-resultados-de-los-censos-nacionales-2025
PER,ペルー,2025,家庭エネルギー,電気、調理燃料,公式結果記事確認,2025 departamento公表例。人口のみprovincia／distritoも確認,,PER_T,https://www.gob.pe/institucion/inei/noticias/1426058-inei-poblacion-de-cusco-registro-1-millon-379-mil-habitantes-segun-resultados-de-los-censos-nacionales-2025
PER,ペルー,2025,デジタル接続,世帯ネット・携帯・PC,公式結果記事確認,2025 departamento公表例。人口のみprovincia／distritoも確認,,PER_T,https://www.gob.pe/institucion/inei/noticias/1426058-inei-poblacion-de-cusco-registro-1-millon-379-mil-habitantes-segun-resultados-de-los-censos-nacionales-2025
PER,ペルー,2025,教育,学歴,公式結果記事確認,2025 departamento公表例。人口のみprovincia／distritoも確認,,PER_T,https://www.gob.pe/institucion/inei/noticias/1426058-inei-poblacion-de-cusco-registro-1-millon-379-mil-habitantes-segun-resultados-de-los-censos-nacionales-2025
PER,ペルー,2025,就業・生計,未確認：2025就業表の対象粒度,未確認,当該項目の公表粒度未確認,,PER_T,https://www.gob.pe/institucion/inei/noticias/1426058-inei-poblacion-de-cusco-registro-1-millon-379-mil-habitantes-segun-resultados-de-los-censos-nacionales-2025
PER,ペルー,2025,包摂・健康の一部,未確認：2025障害・医療保障表の対象粒度,未確認,当該項目の公表粒度未確認,,PER_T,https://www.gob.pe/institucion/inei/noticias/1426058-inei-poblacion-de-cusco-registro-1-millon-379-mil-habitantes-segun-resultados-de-los-censos-nacionales-2025
PER,ペルー,2025,移住,2020–2025移住,公式結果記事確認,2025 departamento公表例。人口のみprovincia／distritoも確認,,PER_T,https://www.gob.pe/institucion/inei/noticias/1426058-inei-poblacion-de-cusco-registro-1-millon-379-mil-habitantes-segun-resultados-de-los-censos-nacionales-2025
DOM,ドミニカ共和国,2022,人口・世帯,性・年齢、世帯,公表目録確認,municipio／distrito municipal（項目別）,,DOM_C,https://www.one.gob.do/datos-y-estadisticas/temas/censos/poblacion-y-vivienda/2022/
DOM,ドミニカ共和国,2022,住宅,材料、室数、居住条件,公表目録確認,municipio／distrito municipal（項目別）,,DOM_C,https://www.one.gob.do/datos-y-estadisticas/temas/censos/poblacion-y-vivienda/2022/
DOM,ドミニカ共和国,2022,水,家庭用・飲用の水源,公表目録確認,municipio／distrito municipal（項目別）,,DOM_W,https://www.one.gob.do/publicaciones/2026/fasciculo-ii-agua-y-saneamiento-en-los-hogares-de-la-republica-dominicana/
DOM,ドミニカ共和国,2022,衛生,便所・共同利用,公表目録確認,municipio／distrito municipal（項目別）,,DOM_W,https://www.one.gob.do/publicaciones/2026/fasciculo-ii-agua-y-saneamiento-en-los-hogares-de-la-republica-dominicana/
DOM,ドミニカ共和国,2022,家庭エネルギー,照明・調理燃料,公表目録確認,municipio／distrito municipal（項目別）,,DOM_C,https://www.one.gob.do/datos-y-estadisticas/temas/censos/poblacion-y-vivienda/2022/
DOM,ドミニカ共和国,2022,デジタル接続,個人ネット利用5歳以上・過去3か月,公表目録確認,municipioの表を確認。DMの同表は未確認,,DOM_C,https://www.one.gob.do/datos-y-estadisticas/temas/censos/poblacion-y-vivienda/2022/
DOM,ドミニカ共和国,2022,教育,就学・学歴（学歴3歳以上等）,公表目録確認,municipio／distrito municipal（項目別）,,DOM_C,https://www.one.gob.do/datos-y-estadisticas/temas/censos/poblacion-y-vivienda/2022/
DOM,ドミニカ共和国,2022,就業・生計,職業・経済活動設問,設問の公式説明確認,2022自治体別就業表は未確認,,DOM_Q,https://www.one.gob.do/media/jo4holms/cabalidad-en-las-respuestas-de-censos-2010-y-2022.pdf
DOM,ドミニカ共和国,2022,包摂・健康の一部,機能上の困難5歳以上,公表目録確認,provinciaの表を確認。municipioの同表は未確認,,DOM_C,https://www.one.gob.do/datos-y-estadisticas/temas/censos/poblacion-y-vivienda/2022/
DOM,ドミニカ共和国,2022,移住,未確認：この台帳では移住詳細を未点検,未確認,当該項目の公表粒度未確認,,DOM_C,https://www.one.gob.do/datos-y-estadisticas/temas/censos/poblacion-y-vivienda/2022/
URY,ウルグアイ,2023,人口・世帯,人口・世帯・住宅の加重データ,公開データ案内確認,2026版でmunicipio／localidad等を拡張,,URY_C,https://www.gub.uy/instituto-nacional-estadistica/politicas-y-gestion/microdatos-censo-2023-ponderados
URY,ウルグアイ,2023,住宅,壁・屋根・床、住宅種類・居住状態,変数辞書確認,2026年7月版辞書にmunicipio／segmento等あり。変数別の利用範囲を追加照合,,URY_D,https://www4.ine.gub.uy/Anda5/index.php/catalog/781/data-dictionary/F1
URY,ウルグアイ,2023,水,水源、住宅への水の到達方法,変数辞書確認,2026年7月版辞書にmunicipio／segmento等あり。変数別の利用範囲を追加照合,,URY_D,https://www4.ine.gub.uy/Anda5/index.php/catalog/781/data-dictionary/F1
URY,ウルグアイ,2023,衛生,便所・水洗、排水方法,調査票確認,2023調査票で確認。2026加重版の同変数・municipio集計条件は追加照合,,URY_Q,https://www.gub.uy/instituto-nacional-estadistica/sites/instituto-nacional-estadistica/files/2025-02/Cuestionario_censo2023%20%281%29.pdf
URY,ウルグアイ,2023,家庭エネルギー,主な電気照明の方法,変数辞書確認,2026年7月版辞書にmunicipio／segmento等あり。変数別の利用範囲を追加照合,2023調査票には調理・暖房燃料もある。2026版の同変数提供条件を確認する。,URY_D,https://www4.ine.gub.uy/Anda5/index.php/catalog/781/data-dictionary/F1
URY,ウルグアイ,2023,デジタル接続,世帯のインターネットアクセス、PC等の設備,調査票確認,2023調査票で確認。2026加重版の同変数・municipio集計条件は追加照合,,URY_Q,https://www.gub.uy/instituto-nacional-estadistica/sites/instituto-nacional-estadistica/files/2025-02/Cuestionario_censo2023%20%281%29.pdf
URY,ウルグアイ,2023,教育,就学・教育段階・教育歴,調査票確認,2023調査票で確認。2026加重版の同変数・municipio集計条件は追加照合,,URY_Q,https://www.gub.uy/instituto-nacional-estadistica/sites/instituto-nacional-estadistica/files/2025-02/Cuestionario_censo2023%20%281%29.pdf
URY,ウルグアイ,2023,就業・生計,前週活動、求職、職業・産業・従業上の地位、就業場所,調査票確認,2023調査票で確認。2026加重版の同変数・municipio集計条件は追加照合,,URY_Q,https://www.gub.uy/instituto-nacional-estadistica/sites/instituto-nacional-estadistica/files/2025-02/Cuestionario_censo2023%20%281%29.pdf
URY,ウルグアイ,2023,包摂・健康の一部,日常生活上の困難、ケア関連設問,調査票確認,2023調査票で確認。2026加重版の同変数・municipio集計条件は追加照合,,URY_Q,https://www.gub.uy/instituto-nacional-estadistica/sites/instituto-nacional-estadistica/files/2025-02/Cuestionario_censo2023%20%281%29.pdf
URY,ウルグアイ,2023,移住,出生地・従前居住地・入国年,調査票確認,2023調査票で確認。2026加重版の同変数・municipio集計条件は追加照合,,URY_Q,https://www.gub.uy/instituto-nacional-estadistica/sites/instituto-nacional-estadistica/files/2025-02/Cuestionario_censo2023%20%281%29.pdf
VEN,ベネズエラ,2011,人口・世帯,性・年齢、続柄,調査票確認,公開粒度未確認（票ではmunicipio／parroquiaを識別）,,VEN_C,https://celade.cepal.org/censosinfo/Boletas/VE_BDef_2011.pdf
VEN,ベネズエラ,2011,住宅,材料、室数、所有・賃貸,調査票確認,公開粒度未確認（票ではmunicipio／parroquiaを識別）,,VEN_C,https://celade.cepal.org/censosinfo/Boletas/VE_BDef_2011.pdf
VEN,ベネズエラ,2011,水,水源・供給頻度、飲用処理,調査票確認,公開粒度未確認（票ではmunicipio／parroquiaを識別）,,VEN_C,https://celade.cepal.org/censosinfo/Boletas/VE_BDef_2011.pdf
VEN,ベネズエラ,2011,衛生,便所・排水,調査票確認,公開粒度未確認（票ではmunicipio／parroquiaを識別）,,VEN_C,https://celade.cepal.org/censosinfo/Boletas/VE_BDef_2011.pdf
VEN,ベネズエラ,2011,家庭エネルギー,電力網・発電機・太陽光、調理燃料,調査票確認,公開粒度未確認（票ではmunicipio／parroquiaを識別）,,VEN_C,https://celade.cepal.org/censosinfo/Boletas/VE_BDef_2011.pdf
VEN,ベネズエラ,2011,デジタル接続,世帯固定／モバイルネット,調査票確認,公開粒度未確認（票ではmunicipio／parroquiaを識別）,,VEN_C,https://celade.cepal.org/censosinfo/Boletas/VE_BDef_2011.pdf
VEN,ベネズエラ,2011,教育,識字、就学、学歴,調査票確認,公開粒度未確認（票ではmunicipio／parroquiaを識別）,,VEN_C,https://celade.cepal.org/censosinfo/Boletas/VE_BDef_2011.pdf
VEN,ベネズエラ,2011,就業・生計,未確認：この台帳では就業設問・表を未点検,未確認,当該項目の公表粒度未確認,,VEN_C,https://celade.cepal.org/censosinfo/Boletas/VE_BDef_2011.pdf
VEN,ベネズエラ,2011,包摂・健康の一部,障害・疾患、民族・言語、医療保障・受診先,調査票確認,公開粒度未確認（票ではmunicipio／parroquiaを識別）,,VEN_C,https://celade.cepal.org/censosinfo/Boletas/VE_BDef_2011.pdf
VEN,ベネズエラ,2011,移住,出生地・国籍、2006年居住地,調査票確認,公開粒度未確認（票ではmunicipio／parroquiaを識別）,,VEN_C,https://celade.cepal.org/censosinfo/Boletas/VE_BDef_2011.pdf
